id,type,price,rent,roomNum,grossArea,netFloorArea,floor,address,postDate,latitude,longitude,title,region,propertyName,contact,imageURL,pageURL,agentName
1,sell,5000000,0,2,440,309,Low level,NO.3 FUNG YAU STREET SOUTH,1/11/2019,22.442017,114.033656,"Estate,Apartment 2 bedroom",Yuen Long,  Ho Shun King Building,譚凱婷 Tina Tam,https://i1.28hse.com/2019/01/750240_2019013147_tmb3.jpg,https://www.28hse.com/en/buy-property-750240.html,Qfang.com
8,sell,4200000,0,3,700,650,Mid level,Yuen Long,1/10/2019,22.4314,114.017416,"Estate,Village House,Apartment 3 bedroom",Yuen Long,  Village,星港地產 STARLITE,https://i1.28hse.com/2017/04/341856_2017045530_tmb3.jpg,https://www.28hse.com/en/buy-property-309608.html,Starlite Property
38,sell,4700000,0,1,319,229,High level,No.39-49 Wan Chai Road,1/7/2019,22.275766,114.174414,"Estate,Stand-alone Building,Apartment 1 bedroom",Wan Chai,  Fu Yuen,卓滙物業代理 ChapWin Property,https://i1.28hse.com/2019/01/747464_2019011277_tmb3.jpg,https://www.28hse.com/en/buy-property-747464.html,chapwin property
43,sell,5000000,0,1,433,313,High level,NO.9 ON PONG ROAD,1/7/2019,22.450209,114.169008,"Block 05, Tai Po Centre",Tai Po,   Centre,"賴嘉敏小姐 Carman, Lai Ka Man",https://i1.28hse.com/2019/01/747402_2019013365_tmb3.jpg,https://www.28hse.com/en/buy-property-747402.html,Midland Property
54,sell,5200000,0,1,474,309,Low level,NO.231 HENNESSY ROAD,1/2/2019,22.278105,114.175734,"Stand-alone Building,Apartment 1 bedroom",Wan Chai,  Eastman Court,黃先生 KEN WONG,https://i1.28hse.com/2019/01/765582_2019014187_tmb3.jpg,https://www.28hse.com/en/buy-property-744555.html,Richland Realty
70,sell,5900000,0,3,657,560,High level,NO.185 Fu Shan To,1/8/2019,22.34139799,114.2080522,Grand View Garden,Diamond Hill,  Grand View Garden,黎先生,https://i1.28hse.com/2019/01/748210_2019014527_tmb3.jpg,https://www.28hse.com/en/buy-property-748210.html,Fullmark
101,sell,9400000,0,3,726,501,Mid level,NO.2 PO MAN STREET,1/2/2019,22.27845,114.228674,"Stand-alone Building,Apartment 3 bedroom",Shaukeiwan,  Hoi Fung Centre,宏智物業 ＥＭＢＬＡＺＯＮ　ＰＲＯＰＥＲＴＹ,https://i1.28hse.com/2019/01/765548_2019013827_tmb3.jpg,https://www.28hse.com/en/buy-property-744517.html,Emblazon Property
111,sell,3800000,0,2,507,407,Mid level,NO.8 PO LEI STREET KWAI CHUNG,1/1/2019,22.361751,114.138906,"Estate,Home Ownership,Apartment 2 bedroom",Kwai Chung,  Yi Fung Court,劉先生 Samuel Lau,https://i1.28hse.com/2019/01/743957_2019015999_tmb3.jpg,https://www.28hse.com/en/buy-property-743957.html,Well Link Property
124,sell,11000000,0,3,943,678,High level,NO.8 KING LING ROAD,12/31/2018,22.30462666,114.2519385,"Tower 5, Phase 1 (Metro Town), Metro Town",Tseung Kwan O,  Metro Town,"何美禎小姐 Ivy, Ho Mei Ching",https://i1.28hse.com/2018/12/743248_2018124331_tmb3.jpg,https://www.28hse.com/en/buy-property-743248.html,Hong Kong Property
126,sell,8500000,0,2,712,530,Mid level,88 O KING ROAD,12/31/2018,22.30075543,114.2546529,"Block 11, Ocean Shores",Tseung Kwan O,  Ocean Shores,"邱紫琼小姐 Venus, Yau Tsz King",https://i1.28hse.com/2018/12/743242_2018123328_tmb3.jpg,https://www.28hse.com/en/buy-property-743242.html,Hong Kong Property
189,sell,11500000,0,3,917,687,High level,NO. 1 PO TAI STREET,12/22/2018,22.41437,114.223064,"Estate,Apartment 3 bedroom",Ma On Shan,  Ocean View,陳小姐,https://i1.28hse.com/2018/12/739226_2018125311_tmb3.jpg,https://www.28hse.com/en/buy-property-739226.html,Century 21 Goodwin
