St. Anthony's School;10;school;School;King Ming Mansion, Pok Fu Lam Rd, Sai Ying Pun;22.285063, 114.137188
St. Louis School;32;school;Middle School;179 Third St, Sai Ying Pun;22.285938, 114.138188
Saint Stephen's Church College;9;school;Middle School;62 Pok Fu Lam Rd, Sai Wan;22.285188, 114.138188
Montessori School of Hong Kong;0;school;Kindergarten;37 Pok Fu Lam Rd, Sai Wan;22.285188, 114.138813
St. Paul's College;49;school;School;67-69 Bonham Rd, Shek Tong Tsui;22.284688, 114.138813
Li Sing Primary School;11;school;Primary School;119 High St, Sai Wan;22.285313, 114.139812
HKU SPACE - Headquarters;4;school;University;90號, T.T. Tsui Building, 字樓304室, 3 Bonham Rd, Lung Fu Shan;22.283938, 114.139438
Department of Architecture, The University of Hong Kong;0;school;University Department;Lung Fu Shan, 鈕魯詩樓;22.283312, 114.138438
HKU Admission Office;1;school;School Center;The University of Hong Kong Main Building, G14 Ground Floor Main Building Pokfulam, Pok Fu Lam Rd, Lung Fu Shan;22.284062, 114.137937
Rhenish Mission School Kindergarten Section;3;school;Kindergarten;86A Bonham Rd, Sai Wan;22.283688, 114.140813
Kau Yan Primary School;4;school;School;97A High St, Sai Ying Pun;22.285313, 114.140937
St.Anthony's Anglo-Chinese Primary School & Kindergarten;1;school;Kindergarten;79-85 Hill Rd, Sai Wan;22.284438, 114.136438
Graduate School, The University of Hong Kong;0;school;Graduate School;Graduate House, University Dr,, University Dr, Lung Fu Shan;22.281938, 114.137437
Chiu Sheung School Hong Kong;11;school;Primary School;Sai Wan, 薄扶林道79B號;22.283813, 114.135813
Ying Wa Girls' School;23;school;Girls' High School;76 Robinson Rd, Mid-level;22.282562, 114.147188
Saint Clare's Primary School;13;school;Primary School;3-6 Prospect Pl;22.283563, 114.140437
San Wui Commercial Society School;19;school;School;Tai Ping Shan, 居賢坊1;22.284062, 114.148938
Kau Yan School;28;school;Educational Institution;97B High Street, Sai Ying Pun;22.285438, 114.141062
King's College;75;school;Boys' High School;Sai Wan, Bonham Rd, 63A號;22.284438, 114.140437
S.K.H. St. Peter's Primary School;9;school;Primary School;88 Hill Rd, Shek Tong Tsui;22.284187, 114.135687
Evangelical Lutheran Church - Hong Kong, Ling On Nursery School;0;school;School;Ham Tin, Kai Tin Rd, 71號號 六 樓 Lam Tin Estate Welfare Building (west);22.285813, 114.140813
Saint Charles School;10;school;Elementary School;Sai Wan, 蒲飛路25號;22.280563, 114.129938
Faculty of Law, The University of Hong Kong;11;school;Law School;Pok Fu Lam, Pok Fu Lam Rd, 10/F, Cheng Yu Tung Tower, Centennial Campus, Pokfulam Road, The University of Hong Kong, Hong Kong;22.283312, 114.133813
S.K.H. St. Peter's Primary School;30;school;Primary School;70 Hill Rd, Shek Tong Tsui;22.284937, 114.134563
Central and Western District Saint Anthony's School;21;school;Primary School;2 Hospital Rd, Central;22.283938, 114.147562
Hkspc Thomas Tam Nursery School;2;school;Nursery School;30 Hospital Rd, Sai Wan;22.285313, 114.144563
The ISF Pre-School;1;school;School;Shop 2-4, G/F Tung Fai Gardens, 17 Po Yan St, Sheung Wan;22.285063, 114.147188
Andre Music 音樂教室;1;school;Music School;德輔道西259-269號, 銀行大廈 地下20-22號舖, 港鐵西營盤站 B3 出口對面 (MRT消費站), Shop 20-22, G/F, MRT Mall, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun;22.288188, 114.141062
Bonham Road Government Primary School;15;school;Primary School;9A Bonham Rd, Mid-level;22.284563, 114.143937
補習學校 Education;0;school;Educational Institution;Sheung Fung Ln, Sai Wan;22.285687, 114.141313
Saint Stephen's Girls' College;44;school;Girls' High School;2 Lyttelton Rd, Mid-level;22.283563, 114.144062
The Harbour School (Harbour Village Campus);7;school;International School;2nd Floor Kennedy Town Centre, 23 Belcher's St, Kennedy Town;22.283938, 114.130563
Saint Stephen's Girls' Primary School and Kindergarten;4;school;Primary School;33 Park Road, Mid-level;22.283938, 114.144563
Lok Sin Tong Leung Kau Kui College;16;school;Middle School;26-28, Hospital Rd, Tai Ping Shan;22.285938, 114.145812
Elchk Amazing Grace Nursery School;0;school;School;2 High St, Sai Wan;22.284937, 114.144188
French International School of Hong Kong;1;school;High school;Tai Ping Shan;22.285063, 114.147188
Faculty of Dentistry, The University of Hong Kong;0;school;School;34 Hospital Rd, Sai Wan;22.286188, 114.144062
The ISF Pre-School;0;school;School;17 Po Yan St, Tai Ping Shan;22.285063, 114.147188
The Woodland Kennedy Town Pre-School;2;school;Preschool;G/F F, Building 3C, Davis St, Kennedy Town;22.282687, 114.126938
C&W District St Anthony's School;1;school;School;2 Hospital Rd, Tai Ping Shan;22.283688, 114.147313
King's College Old Boys' Association Primary School (School 2);9;school;Primary School;40 Po Hing Fong, Tai Ping Shan;22.284062, 114.147813
Island Waldorf School 香島華德福學校;4;school;School;Shop 1, G/F, 71-77 Smithfield, Kennedy Town;22.280688, 114.128813
Caritas Nursery School - Kennedy Town;1;school;Nursery School;27 Pokfield Rd, Kennedy Town;22.280313, 114.129813
SKH Saint Matthew's Primary School;8;school;Primary School;12-20 New St, Sheung Wan;22.285687, 114.146688
Carmel School (Kindergarten Section);0;school;Kindergarten;70 Robinson Rd, Mid-level;22.281438, 114.149437
King's College Old Boys' Association Primary School;11;school;Elementary School;58 Bridges St, Sheung Wan;22.283437, 114.150062
弘爵國際學校（堅道）;0;school;High school;Mid-level;22.282687, 114.150188
Island Christian Academy;19;school;International School;70 Bridges St, Sheung Wan;22.283813, 114.149313
The International Montessori School (Kindergarten Section)(Mid-Levels Campus);0;school;School;Mezzanine Entrance, Tung Fai Gardens 17 Po Yan Street Sheung Wan, Hong Kong, Mid-level;22.285313, 114.147438
迦密學校;0;school;High school;Mid-level, 半山羅便臣道70號雍景台1座3～4字樓;22.281688, 114.148938
荷李活中心;1;school;Office Building;Sheung Wan, 上環皇后大道西77-91號12樓C室;22.286563, 114.147062
SKH Lui Ming Choi Memorial Primary School;19;school;Primary School;Sai Wan, 堅尼地城加惠民道31號;22.281438, 114.124187
La Chouette Ecole;0;school;Preschool;1/F Imperial Terrace, 356 queens road West, entrance on Western st, Sai Ying Pun;22.286813, 114.141062
The French International School of Hong Kong;20;school;International School;165 Blue Pool Rd, Happy Valley;22.261062, 114.191562
ESF Glenealy School;6;school;International School;7 Hornsey Rd, Mid-level;22.276438, 114.152813
Cherish English School & Kindergarten;2;school;Kindergarten;Sai Wan;22.281187, 114.126188
The Woodland Montessori Academy (Mid-Levels);0;school;Preschool;On Fung Building, G/F 3/F,, 110-118 Caine Rd, Mid-level;22.282687, 114.150188
Sacred Heart Canossian School;23;school;Primary School;26 Caine Rd, Mid-level;22.280188, 114.153562
International Scholars Tuition School;1;school;Tutoring Service;3/F 255-, 257 Des Voeux Rd Central, Sheung Wan;22.286688, 114.152063
S.K.H. Kei Yan Primary School;23;school;Primary School;109 Hollywood Rd, Central;22.284062, 114.151688
West Island School;39;school;High school;250 Victoria Rd, Sandy Bay;22.272813, 114.125688
Glenealy School;0;school;School;7 Hornsey Rd, Mid-level;22.276438, 114.152813
